date,Bleu HC,Bleu HP,Blanc HC,Blanc HP,Rouge HC,Rouge HP,Inconnu,,
2022-04-26 00:00:00 +0200,1627.551,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-27 00:00:01 +0200,1627.551,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-28 00:00:00 +0200,1627.551,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-29 00:00:00 +0200,1628.089,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-30 00:00:00 +0200,1628.089,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-05-01 00:00:00 +0200,1628.089,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-05-02 00:00:00 +0200,1655.3,120.903,37.963,1.802,2.911,0.753,1628.134,,
2022-05-03 00:00:00 +0200,1681.417,120.903,37.963,1.802,2.911,0.753,1628.134,,
2022-05-04 00:00:00 +0200,1695.138,120.903,37.963,1.802,2.911,0.753,1628.134,,
2022-05-05 00:00:00 +0200,1697.331,120.903,37.963,1.802,2.911,0.753,1628.134,,
2022-05-06 00:00:00 +0200,1698.137,120.903,37.963,1.802,2.911,0.753,1628.134,,
2022-05-07 00:00:00 +0200,1698.137,120.903,37.963,1.802,2.911,0.753,1628.134,,
2022-05-08 00:00:00 +0200,1698.137,120.903,37.963,1.802,2.911,0.753,1628.134,,
2022-05-09 00:00:00 +0200,1698.137,120.903,37.963,1.802,2.911,0.753,1628.134,,
2022-05-10 00:00:00 +0200,1698.96,120.903,37.963,1.802,2.911,0.753,1628.134,,
2022-05-11 00:00:00 +0200,1698.96,120.903,37.963,1.802,2.911,0.753,1628.134,,
2022-05-12 00:00:00 +0200,1698.96,120.903,37.963,1.802,2.911,0.753,1628.134,,
2022-05-13 00:00:00 +0200,1698.96,120.903,37.963,1.802,2.911,0.753,1628.134,,
2022-05-14 00:00:00 +0200,1699.023,120.903,37.963,1.802,2.911,0.753,1628.134,,
2022-05-15 00:00:00 +0200,1703.826,120.903,37.963,1.802,2.911,0.753,1628.134,,
2022-05-21 22:00:00 +0200,1717.017,120.903,37.963,1.802,2.911,0.753,1628.134,,
2022-05-22 00:00:00 +0200,1721.798,120.903,37.963,1.802,2.911,0.753,1628.134,,
2022-05-23 00:00:00 +0200,1732.352,120.903,37.963,1.802,2.911,0.753,1628.134,,
2022-05-24 00:00:00 +0200,1732.352,120.903,37.963,1.802,2.911,0.753,1628.134,,
2022-05-25 00:00:00 +0200,1732.352,120.903,40.429,1.802,2.911,0.753,1628.134,,
2022-05-26 00:00:00 +0200,1732.352,120.903,40.429,1.802,2.911,0.753,1628.134,,
2022-05-27 00:00:00 +0200,1739.822,120.903,40.429,1.802,2.911,0.753,1628.134,,
2022-05-28 00:00:00 +0200,1753.541,120.903,40.429,1.802,2.911,0.753,1628.134,,
2022-05-29 00:00:00 +0200,1753.541,120.903,40.429,1.802,2.911,0.753,1628.134,,
2022-05-30 00:00:00 +0200,1781.201,125.902,40.429,1.802,2.911,0.753,1628.134,,
2022-05-31 00:00:00 +0200,1793.538,125.902,40.429,1.802,2.911,0.753,1628.134,,
2022-06-01 00:00:00 +0200,1793.538,125.902,40.429,1.802,2.911,0.753,1628.134,,
2022-06-02 00:00:00 +0200,1796.994,125.902,40.429,1.802,2.911,0.753,1628.134,,
2022-06-03 00:00:00 +0200,1796.994,125.902,40.429,1.802,2.911,0.753,1628.134,,
2022-06-04 00:00:00 +0200,1796.994,125.902,40.429,1.802,2.911,0.753,1628.134,,
2022-06-05 00:00:00 +0200,1796.994,125.902,40.429,1.802,2.911,0.753,1628.134,,
2022-06-06 00:00:00 +0200,1796.994,125.902,40.429,1.802,2.911,0.753,1628.134,,
2022-06-07 00:00:00 +0200,1796.994,125.902,40.429,1.802,2.911,0.753,1628.134,,
2022-06-08 00:00:00 +0200,1796.994,125.902,40.429,1.802,2.911,0.753,1628.134,,
2022-06-09 00:00:00 +0200,1798.132,125.902,40.429,1.802,2.911,0.753,1628.134,,
2022-06-10 00:00:00 +0200,1798.132,125.902,40.429,1.802,2.911,0.753,1628.134,,
2022-06-11 00:00:00 +0200,1798.132,125.902,40.429,1.802,2.911,0.753,1628.134,,
2022-06-12 00:00:00 +0200,1798.132,125.902,40.429,1.802,2.911,0.753,1628.134,,
2022-06-13 00:00:00 +0200,1802.04,125.902,40.429,1.802,2.911,0.753,1628.134,,
2022-06-14 00:00:00 +0200,1802.04,125.902,40.429,1.802,2.911,0.753,1628.134,,
2022-06-15 00:00:00 +0200,1803.906,125.902,40.429,1.802,2.911,0.753,1628.134,,
2022-06-16 00:00:00 +0200,1803.906,125.902,40.429,1.802,2.911,0.753,1628.134,,
2022-06-17 00:00:00 +0200,1805.865,125.902,40.429,1.802,2.911,0.753,1628.134,,
2022-06-18 00:00:00 +0200,1828.818,126.75,40.429,1.802,2.911,0.753,1628.134,,
2022-06-19 00:00:00 +0200,1828.818,126.75,40.429,1.802,2.911,0.753,1628.134,,
2022-06-24 19:00:00 +0200,1828.818,128.105,40.429,1.802,2.911,0.753,1628.134,,
2022-06-25 00:00:00 +0200,1828.818,132.344,40.429,1.802,2.911,0.753,1628.134,,
2022-06-26 00:00:00 +0200,1836.454,132.426,40.429,1.802,2.911,0.753,1628.134,,
2022-06-27 00:00:00 +0200,1839.363,132.426,40.429,1.802,2.911,0.753,1628.134,,
2022-06-28 00:00:00 +0200,1841.97,132.426,40.429,1.802,2.911,0.753,1628.134,,
2022-06-29 00:00:00 +0200,1841.97,132.426,40.429,1.802,2.911,0.753,1628.134,,
2022-06-30 00:00:00 +0200,1841.97,132.426,40.429,1.802,2.911,0.753,1628.134,,
2022-07-01 00:00:00 +0200,1841.97,132.426,40.429,1.802,2.911,0.753,1628.134,,
2022-07-02 00:00:00 +0200,1843.146,132.426,40.429,1.802,2.911,0.753,1628.134,,
2022-07-03 00:00:00 +0200,1850.778,132.426,40.429,1.802,2.911,0.753,1628.134,,
2022-07-04 00:00:00 +0200,1859.281,132.426,40.429,1.802,2.911,0.753,1628.134,,
2022-07-05 00:00:00 +0200,1859.281,132.426,40.429,1.802,2.911,0.753,1628.134,,
2022-07-06 00:00:00 +0200,1862.009,132.426,40.429,1.802,2.911,0.753,1628.134,,
2022-07-07 00:00:00 +0200,1862.405,132.426,40.429,1.802,2.911,0.753,1628.134,,
2022-07-08 00:00:00 +0200,1862.405,132.426,40.429,1.802,2.911,0.753,1628.134,,
2022-07-09 00:00:00 +0200,1863.029,132.426,40.429,1.802,2.911,0.753,1628.134,,
2022-07-10 00:00:00 +0200,1869.914,132.465,40.429,1.802,2.911,0.753,1628.134,,
2022-07-11 00:00:00 +0200,1881.196,132.465,40.429,1.802,2.911,0.753,1628.134,,
2022-08-23 20:52:25 +0200,1881.196,132.465,40.429,1.802,2.911,0.753,1628.134,,
2022-08-24 00:00:00 +0200,1886.222,132.465,40.429,1.802,2.911,0.753,1856.046,,
2022-08-25 00:00:00 +0200,1907.981,132.465,40.429,1.802,2.911,0.753,1856.046,,
2022-08-26 00:00:00 +0200,1907.981,132.465,40.429,1.802,2.911,0.753,1856.046,,
2022-08-27 00:00:00 +0200,1907.981,132.465,40.429,1.802,2.911,0.753,1856.046,,
2022-08-28 00:00:00 +0200,1907.981,132.465,40.429,1.802,2.911,0.753,1856.046,,
